"activityname" "subject" "mean" "n"
"SITTING" 26 -0.732209186814351 5148
"SITTING" 27 -0.738607565821911 4620
"SITTING" 28 -0.731041115599865 4752
"SITTING" 29 -0.739022156685121 3960
"SITTING" 30 -0.732058477455571 4092
"STANDING" 1 -0.751886863913404 3498
"STANDING" 2 -0.739970261016944 3564
"STANDING" 3 -0.712068206745217 4026
"STANDING" 4 -0.705320467661402 3696
"STANDING" 5 -0.698248943096751 3696
"STANDING" 6 -0.723169679977658 3762
"STANDING" 7 -0.725824852727622 3498
"STANDING" 8 -0.735324128855415 3564
"STANDING" 9 -0.719415113824515 2970
"STANDING" 10 -0.721542732014904 2904
"STANDING" 11 -0.747503181881309 3102
"STANDING" 12 -0.719351505561252 4026
"STANDING" 13 -0.742391626905495 3762
"STANDING" 14 -0.733750919831609 3960
"STANDING" 15 -0.733951795404 3498
"STANDING" 16 -0.744597444550344 5148
"STANDING" 17 -0.753476669240357 5148
"STANDING" 18 -0.744424330919073 4818
"STANDING" 19 -0.73554803643265 4818
"STANDING" 20 -0.703585407231564 4818
"STANDING" 21 -0.740332493442983 5874
"STANDING" 22 -0.726785296080127 4158
"STANDING" 23 -0.735074230891955 4488
"STANDING" 24 -0.734420049761198 4554
"STANDING" 25 -0.739256665905592 4884
"STANDING" 26 -0.740410224586124 4884
"STANDING" 27 -0.743828559458429 5280
"STANDING" 28 -0.712417065277087 5214
"STANDING" 29 -0.746979641390065 4290
"STANDING" 30 -0.714291901922109 3894
"WALKING" 1 -0.193204572492262 6270
"WALKING" 2 -0.32544820638322 3894
"WALKING" 3 -0.317947801074047 3828
"WALKING" 4 -0.392128132692634 3960
"WALKING" 5 -0.290846535887125 3696
"WALKING" 6 -0.231135633132547 3762
"WALKING" 7 -0.184567020446338 3762
"WALKING" 8 -0.16056841343373 3168
"WALKING" 9 -0.286806225658878 3432
"WALKING" 10 -0.207316119201447 3498
"WALKING" 11 -0.379016958409591 3894
"WALKING" 12 -0.256034499452433 3300
"WALKING" 13 -0.210988794167055 3762
"WALKING" 14 -0.288349500486322 3894
"WALKING" 15 -0.306114313281622 3564
"WALKING" 16 -0.383138718688577 3366
"WALKING" 17 -0.309280113929322 4026
"WALKING" 18 -0.394478845416299 3696
"WALKING" 19 -0.0739875703910806 3432
"WALKING" 20 -0.0954032717082775 3366
"WALKING" 21 -0.239612750488894 3432
"WALKING" 22 -0.161843378710114 3036
"WALKING" 23 -0.0969339947223061 3894
"WALKING" 24 -0.356957437224817 3828
"WALKING" 25 -0.42015627084922 4884
"WALKING" 26 -0.318740418835688 3894
"WALKING" 27 -0.315300610673124 3762
"WALKING" 28 -0.313871992811888 3564
"WALKING" 29 -0.256846692509308 3498
"WALKING" 30 -0.267020565167016 4290
"WALKING_DOWNSTAIRS" 1 -0.149358035365099 3234
"WALKING_DOWNSTAIRS" 2 -0.106411521321941 3102
"WALKING_DOWNSTAIRS" 3 -0.232708366871836 3234
"WALKING_DOWNSTAIRS" 4 -0.281840698460603 2970
"WALKING_DOWNSTAIRS" 5 -0.149721994636294 3102
"WALKING_DOWNSTAIRS" 6 -0.000804104618582071 3168
"WALKING_DOWNSTAIRS" 7 -0.164658253921528 3102
"WALKING_DOWNSTAIRS" 8 -0.00103612319688198 2508
"WALKING_DOWNSTAIRS" 9 -0.162548480947928 2772
"WALKING_DOWNSTAIRS" 10 -0.108732322835411 2508
"WALKING_DOWNSTAIRS" 11 -0.220718087092131 3036
"WALKING_DOWNSTAIRS" 12 -0.179277771565335 3036
"WALKING_DOWNSTAIRS" 13 -0.170802030677804 3102
"WALKING_DOWNSTAIRS" 14 0.00341910027488552 2970
"WALKING_DOWNSTAIRS" 15 -0.114055542511411 2772
"WALKING_DOWNSTAIRS" 16 -0.21577265313244 3102
"WALKING_DOWNSTAIRS" 17 -0.233445826587078 3036
"WALKING_DOWNSTAIRS" 18 -0.377526737575512 3630
"WALKING_DOWNSTAIRS" 19 0.154941520892261 2574
"WALKING_DOWNSTAIRS" 20 -0.0458055951405788 2970
"WALKING_DOWNSTAIRS" 21 -0.139645365609202 2970
"WALKING_DOWNSTAIRS" 22 -0.147381918801591 2376
"WALKING_DOWNSTAIRS" 23 -0.00547247287462682 3564
"WALKING_DOWNSTAIRS" 24 -0.241425533951455 3630
"WALKING_DOWNSTAIRS" 25 -0.345951992614543 3828
"WALKING_DOWNSTAIRS" 26 -0.175493103647397 3300
"WALKING_DOWNSTAIRS" 27 -0.180615867943192 2904
"WALKING_DOWNSTAIRS" 28 -0.139396563077246 3036
"WALKING_DOWNSTAIRS" 29 -0.178812689061223 3168
"WALKING_DOWNSTAIRS" 30 -0.217523391374438 4092
"WALKING_UPSTAIRS" 1 -0.315336808393305 3498
"WALKING_UPSTAIRS" 2 -0.27094863788048 3168
"WALKING_UPSTAIRS" 3 -0.358357567758965 3894
"WALKING_UPSTAIRS" 4 -0.341355950186464 3432
"WALKING_UPSTAIRS" 5 -0.244346694233246 3102
"WALKING_UPSTAIRS" 6 -0.189984813956898 3366
"WALKING_UPSTAIRS" 7 -0.362851021783283 3366
"WALKING_UPSTAIRS" 8 -0.146879782054871 2706
"WALKING_UPSTAIRS" 9 -0.352322249173958 3234
"WALKING_UPSTAIRS" 10 -0.214657479004489 3102
"WALKING_UPSTAIRS" 11 -0.370962843516591 3564
"WALKING_UPSTAIRS" 12 -0.354006222470134 3432
"WALKING_UPSTAIRS" 13 -0.330641118753785 3630
"WALKING_UPSTAIRS" 14 -0.111119139268373 3564
"WALKING_UPSTAIRS" 15 -0.294341669544798 3168
"WALKING_UPSTAIRS" 16 -0.382992324573922 3366
"WALKING_UPSTAIRS" 17 -0.302507349895375 3168
"WALKING_UPSTAIRS" 18 -0.42646923228292 3828
"WALKING_UPSTAIRS" 19 -0.196891295749223 2640
"WALKING_UPSTAIRS" 20 -0.205762872215166 3366
"WALKING_UPSTAIRS" 21 -0.298692900152311 3102
"WALKING_UPSTAIRS" 22 -0.191712185339628 2772
"WALKING_UPSTAIRS" 23 -0.25943590535943 3366
"WALKING_UPSTAIRS" 24 -0.362618588027219 3894
"WALKING_UPSTAIRS" 25 -0.435418743421543 4290
"WALKING_UPSTAIRS" 26 -0.330337988544182 3630
"WALKING_UPSTAIRS" 27 -0.368009684288904 3366
"WALKING_UPSTAIRS" 28 -0.323401541369843 3366
"WALKING_UPSTAIRS" 29 -0.231956730511577 3234
"WALKING_UPSTAIRS" 30 -0.33891298828135 4290
