"","activityname","subject","mean","n"
"171","WALKING_UPSTAIRS",21,-0.298692900152311,3102
"172","WALKING_UPSTAIRS",22,-0.191712185339628,2772
"173","WALKING_UPSTAIRS",23,-0.25943590535943,3366
"174","WALKING_UPSTAIRS",24,-0.362618588027219,3894
"175","WALKING_UPSTAIRS",25,-0.435418743421543,4290
"176","WALKING_UPSTAIRS",26,-0.330337988544182,3630
"177","WALKING_UPSTAIRS",27,-0.368009684288904,3366
"178","WALKING_UPSTAIRS",28,-0.323401541369843,3366
"179","WALKING_UPSTAIRS",29,-0.231956730511577,3234
"180","WALKING_UPSTAIRS",30,-0.33891298828135,4290
